query,reference
Qual a relação dos livros que serão pedidos no Vestibular da Unicamp?,"10 canções escolhidas, Tarde, Seminário dos Ratos, Olhos d'água, Alice no país das maravilhas, O Ateneu, Niketche – uma História de Poligamia, Casa Velha e Carta de Achamento a el-rei D. Manuel."
Qual a taxa de inscrição do Vestibular?,"A taxa de inscrição para o Vestibular Unicamp 2024 é de 192,00 reais."
O Vestibular Unicamp tem provas e locais adaptados para candidatos com deficiência(s)?,Os(as) candidatos(as) com deficiência ou em condições que exijam recursos específicos para realizar as provas do VU 2024 devem informar suas necessidades no Formulário de Inscrição.
A Unicamp terá vagas exclusivas para medalhistas em olimpíadas de conhecimento?,"115 vagas oferecidas pelo Edital de olimpíadas científicas e competições de conhecimento de áreas específicas. Haverá, ainda, 14 vagas adicionais nesse sistema de ingresso, conforme Edital a ser publicado, respeitando os princípios da Deliberação CONSU-A-032/2017."
A Unicamp terá provas diferenciadas para índios?,"Sim, 49 vagas oferecidas pelo Vestibular Indígena (VI) 2024. O Vestibular Indígena terá ainda 81 vagas adicionais, conforme Edital a ser publicado."
"As cotas são para autodeclarados pretos, mas não para pardos?","Para ter direito à ação afirmativa por critério étnico-racial, os(as) estudantes selecionados(as) que concorreram às vagas reservadas aos(às) autodeclarados(as) pretos(as) ou pardos(as) deverão possuir traços fenotípicos que os(as) caracterizem como negro(as), de cor preta ou parda."
Sou negro(a). Participarei das cotas automaticamente?,Disputarão as vagas pelo programa de reserva de vagas (cotas) apenas os(as) candidatos(as) autodeclarados(as) pretos(as) e pardos(as) que expressamente optarem pelo mesmo.
Posso entrar na Unicamp usando só minha nota do Enem?,"Sim, serão oferecidas 314 vagas oferecidas pelo Edital ENEM-Unicamp 2024."
Quem fez supletivo pode beneficiar-se do PAAIS?,"Sim, desde que o estudante tenha feito o supletivo (Educação de Jovens e Adultos – EJA, modalidades presencial, semipresencial e a distância), em escolas da rede pública no Brasil e  não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista."
Em quais casos é aceita a conclusão do ensino médio pelo ENEM para participação no PAAIS?,É aceita conclusão do ensino médio por meio de Exames Nacionais de Certificação como o ENEM – até o ano de 2016 – e Exame Nacional para Cerfiticação de Competências de Jovens e Adultos (ENCCEJA).
"Estudei uma parte do ensino médio em escola particular, mas com bolsa integral. Tenho direito aos pontos do PAAIS?","Não. Na modalidade de ensino médio regular, o estudante precisa ter cursado todos os anos do ensino médio integralmente na rede pública."
Quem já fez uma graduação em instituição de ensino superior pública pode beneficiar-se do PAAIS?,"Não poderão se beneficiar do PAAIS ou de reserva de vagas (cotas) para autodeclarados(as) pretos(as) e pardos(as) candidatos(as) que já tenham concluído curso de graduação ou pós-graduação em Instituições de Ensino Superior públicas brasileiras (municipais, estaduais ou federais)."
Fui contemplado com a isenção. Estou inscrito automaticamente no vestibular?,Os(as) candidatos(as) contemplados(as) com a isenção da Taxa de Inscrição no Programa de Isenção de Pagamento da Taxa de Inscrição para o Ingresso Unicamp 2024 não estão automaticamente inscritos(as) no VU 2024 e devem fazer a inscrição na página da Comvest no período estipulado no artigo 13.
Preenchi de maneira errada o Formulário de Inscrição. Há como alterar?,"Em caso de necessidade de alteração de dados da inscrição, os(as) candidatos(as) deverão acessar e preencher o formulário eletrônico correspondente. Nesse caso, será considerado válido apenas o último formulário de alteração preenchido dentro do prazo determinado no Manual do Ingresso"
Que dia acontece a primeira fase da Unicamp?,A 1ª fase do VU 2024 será realizada no dia 29 de outubro de 2023.
Que dia acontece a segunda fase da Unicamp?,A 2ª fase do VU 2024 será realizada nos dias 03 e 04 de dezembro de 2023.
O que é a padronização das notas do Vestibular?,Ao(à) candidato(a) será atribuída uma nota padronizada (NP) em cada prova. A padronização atribuirá 500 pontos à média e 100 pontos ao desvio padrão. A NP do(a) candidato(a) em cada prova será dada por: NP = 500 + (N – M) x 100/DP
Quantas vagas tem o curso de Ciência da Computação?,"O curso de Ciência da Computação (Noturno) possui um total de 50 vagas regulares, das quais 40 são oferecidas pelo vestibular da Unicamp."
Onde fica localizado o curso de Sistemas de Informação?,"O curso de Sistema de Informação é ministrado na Faculdade de Tecnologia, em Limeira."
O que anula uma prova de redação?,"Uma redação pode ser anulada nas seguintes situações: 1. Se o candidato abordar outro tema que não o da proposta escolhida; 2. Se o candidato não cumprir as tarefas solicitadas na proposta nem cumprir o gênero discursivo solicitado nela; 3. Se o candidato simplesmente reproduzir os textos da prova (ou partes dos mesmos) em forma de colagem, sejam do enunciado, sejam da coletânea da proposta escolhida."
Quais as disciplinas da primeira fase?,"A prova de primeira fase é composta por 72 questões objetivas que avaliam, de maneira preliminar, as disciplinas distribuídas da seguinte forma: 12 (doze) questões de Matemática; 12 (doze) questões de Língua Portuguesa e Literaturas de Língua Portuguesa; 7 (sete) questões de Inglês, 21 (vinte uma) questões de Ciências da Natureza (Biologia, Química e Física); 20 (vinte) questões de Ciências Humanas (História, Geografia, Filosofia e Sociologia)."
